RSCID,Discord ID,Name,Franchise,Team,Tier,SBV,GP
RSC003505,274013157905661953,G,Pantheon,Amaterasu,Elite,30.42,40
RSC000574,293080907005427712,Icy,Whale Defense,Finbacks,Elite,29.82,60
RSC004910,104791226984706048,Seefooo,Dungeons And Double Taps,Warlocks,Elite,29.82,63
RSC000617,306907868240543745,Dav,Minty Fresh,Menthol,Elite,29.74,50
RSC002475,413502670884700181,Theonlynx,,,Elite,28.88,7
RSC004794,339546382190772236,Buddha,Electric Mayhem,Thunder,Elite,28.69,8
RSC004295,175371459957358592,Heavyumlaut,Puppy Paradise,Rottweilers,Elite,28.54,49
RSC000779,820683748105912352,Chill,The Elements,Fire,Elite,27.84,25
RSC005008,709123751605960876,Best Cheerleader Eu,,,Elite,27.64,26
RSC000544,282687259369799682,Xaerous,The Elements,Fire,Elite,27.49,63
RSC002403,541824928006012928,Zro.,,,Elite,27.38,6
RSC000369,223603266620096512,Hexzy,The Forest,Wendigos,Elite,26.61,16
RSC003009,201143229826072576,Twisted,Energy,Nuclear,Elite,26.28,58
RSC005535,268087346430345217,R.Etro,The Garden,Onions,Elite,26.28,26
RSC005733,471169377262370826,Apollo,The Bakery,Dab Brulee,Elite,24.80,40
RSC004314,249751219696828429,Xxmemexxxl0Rdxx,The Cosmos,Quasars,Elite,24.75,8
RSC002386,308086057965060096,Gidderrrs,Eight Legged Freaks,Wolf Spiders,Rival,21.81,41
RSC001960,409791811369041920,Angel,Italian Battalion,Ravioli Rangers,Elite,22.51,50
RSC003705,178711181274382346,Skybud_,,,Elite,21.75,17
RSC005698,204361513723494401,Notjo,Shark Attack,Great Whites,Elite,20.53,12
RSC004353,765987588854120469,Super,The Forest,Wendigos,Elite,19.87,38
RSC002498,322770380517539842,Justin,Fifty-Fifty Pizzeria,Gelato,Elite,19.15,43
RSC003203,609203819364089856,Turnzy,,,Elite,17.85,4
RSC000203,174024053143764992,Frostybrew,The Monster Mash,Demons,Elite,16.38,14
RSC004355,365643041907933186,Legacy.,Eight Legged Freaks,Widows,Elite,14.99,46
RSC000367,222800214367535104,Pana,The Cosmos,,Elite,14.77,23
RSC003307,103715570515464192,Lazy6714,,,Elite,14.72,3
RSC000612,304414703705391106,Taq_7,,,Elite,13.08,8
RSC000766,370641110785064971,Visionaryone,,,Elite,7.50,5
RSC001141,174351324010250241,Bill3113,The Sovereign,Knights,Elite,7.09,12
